File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker2_55,61.47497917,308.494784,308.495,60.918,75.911,632.205,13371,13117,3.26E-03,7.44E-04,24.53%,140,27.80%,0.854013,0.216244,9.822,-5.05,-,1536,48000,16,2949120,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Lost_city
speaker2_56,62.17097917,308.496533,308.497,60.935,75.091,597.555,12938,12687,3.26E-03,7.26E-04,27.66%,140,30.58%,0.846811,0.225684,9.474,-4.51,-,1536,48000,16,2981888,307.46,1.42,stereo,htt://en.m.wikipedia.org/wiki/Lost_city
speaker2_57,63.17897917,308.218345,308.218,72.967,80.281,554.621,11820,11538,3.26E-03,8.57E-04,33.61%,176,36.37%,0.819304,0.264829,7.871,-1.84,-,1536,48000,16,3030016,307.46,1.45,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_58,61.83497917,305.990987,305.991,67.996,77.942,573.25,12358,12069,3.28E-03,8.76E-04,29.08%,170,33.25%,0.815872,0.269912,7.687,-6.32,-,1536,48000,16,2965504,307.46,1.42,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_59,60.94697917,305.051247,305.051,61.309,84.456,543.771,12927,12662,3.30E-03,7.34E-04,25.53%,154,28.13%,0.837104,0.233303,8.552,-3,-,1536,48000,16,2923520,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_60,61.11497917,302.497193,302.497,66.802,75.325,532.548,12781,12503,3.32E-03,8.58E-04,25.52%,152,29.64%,0.821937,0.258604,7.91,-5.11,-,1536,48000,16,2931712,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_61,60.97097917,309.168941,309.169,66.8,76.025,531.027,12434,12148,3.25E-03,8.05E-04,27.95%,166,33.25%,0.83459,0.23746,8.474,-5.53,-,1536,48000,16,2924544,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_62,60.85097917,304.455579,304.456,63.408,75.66,563.999,12346,12049,3.29E-03,7.73E-04,27.46%,170,32.11%,0.822564,0.259746,7.959,-3.95,-,1536,48000,16,2918400,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_63,60.56297917,304.950618,304.951,61.215,75.382,572.497,12036,11763,3.29E-03,7.28E-04,28.17%,154,33.22%,0.818866,0.267022,7.896,-4.19,-,1536,48000,16,2905088,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
speaker2_64,61.66697917,308.305197,308.305,60.036,74.693,526.752,12749,12460,3.26E-03,7.20E-04,27.89%,165,31.38%,0.80884,0.283558,7.435,-5.58,-,1536,48000,16,2958336,307.46,1.41,stereo,htt://en.m.wikipedia.org/wiki/Coimbatore
Speaker3_00,60,239.195135,230.041,46.031,79.529,614.371,8908,8738,4.18E-03,7.75E-04,34.02%,146,36.33%,0.879497,0.17053,11.11,-4.29,-,1536,48000,16,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_01,60,240.289877,240.29,44.91,75.112,574.179,9538,9374,4.17E-03,7.46E-04,30.12%,125,33.82%,0.897342,0.139581,12.072,-7.48,-,1536,48000,17,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_02,60,239.780134,239.78,44.727,82.57,627.9,10156,10003,4.18E-03,7.20E-04,26.36%,128,29.76%,0.900774,0.131518,11.84,-5.83,-,1536,48000,18,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_03,60,242.800531,242.801,39.122,91.937,533.297,9656,9475,4.12E-03,6.59E-04,29.50%,146,34.07%,0.884862,0.157479,10.996,-5.57,-,1536,48000,19,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_04,60,242.826413,242.826,46.378,90.357,541.124,10026,9845,4.13E-03,7.47E-04,27.46%,141,31.69%,0.890407,0.147433,11.208,-3.01,-0.13,1536,48000,20,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_05,60,244.356166,244.356,41.579,75.026,587.347,9420,9233,4.10E-03,7.15E-04,32.52%,150,36.36%,0.886243,0.155246,11.042,-4.89,-,1536,48000,21,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_06,60,237.278005,237.278,36.114,86.29,564.518,9584,9391,4.23E-03,6.94E-04,29.35%,147,33.15%,0.88555,0.156026,11.013,-3.47,-,1536,48000,22,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_07,60,240.338587,240.339,39.685,77.966,438.387,9731,9565,4.17E-03,6.76E-04,30.18%,135,33.02%,0.893354,0.14637,11.888,-6.28,-,1536,48000,23,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_08,60,243.191301,243.191,41.98,94.411,576.887,9697,9539,4.12E-03,6.98E-04,32.07%,128,32.86%,0.889613,0.156161,11.83,-7.54,-,1536,48000,24,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_09,60,240.706109,240.706,43.57,74.032,557.134,9805,9609,4.17E-03,7.69E-04,29.23%,163,32.60%,0.88736,0.15732,11.736,-6.26,-,1536,48000,25,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_10,60,245.299251,245.299,41.155,75.164,597.859,10137,9961,4.09E-03,6.63E-04,28.20%,144,31.60%,0.898833,0.138265,12.143,-5.98,-,1536,48000,26,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_11,60,241.368404,241.368,46.871,78.409,619.036,9637,9447,4.15E-03,7.93E-04,30.65%,143,33.03%,0.890823,0.148433,11.538,-3.53,-,1536,48000,27,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_12,60,237.4206,237.421,38.866,77.12,573.651,9693,9526,4.21E-03,6.83E-04,29.43%,135,32.70%,0.890994,0.14978,11.524,-4.26,-,1536,48000,28,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_13,60,243.962964,243.963,44.941,76.311,590.766,9665,9479,4.10E-03,7.22E-04,31.62%,149,34.62%,0.893413,0.143555,11.675,-4.59,-,1536,48000,29,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_14,60,247.783196,247.783,42.7,82.558,558.408,10355,10164,4.05E-03,6.79E-04,27.56%,148,30.56%,0.903509,0.128308,12.196,-2.11,-,1536,48000,30,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_15,60,240.837616,240.838,40.784,82.027,598.854,9847,9669,4.16E-03,6.86E-04,29.27%,152,32.52%,0.890271,0.147423,11.163,-5.99,-,1536,48000,31,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_16,60,240.370796,240.371,36.993,78.802,445.299,10058,9871,4.17E-03,6.75E-04,27.61%,148,29.60%,0.892362,0.146968,11.579,-5.01,-,1536,48000,32,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_17,60,237.613484,237.613,41.177,75.277,598.566,9591,9395,4.22E-03,7.94E-04,29.37%,156,33.32%,0.890341,0.150429,11.493,-5.96,-,1536,48000,33,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_18,60,241.844686,241.845,39.8,77.099,510.168,10024,9859,4.15E-03,7.21E-04,29.12%,138,31.48%,0.900357,0.134035,12.085,-4.62,-,1536,48000,34,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_19,60,241.357992,241.358,44.058,78.328,597.955,10136,9964,4.16E-03,6.76E-04,27.75%,125,30.27%,0.905354,0.12601,12.189,-2.3,-,1536,48000,35,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_20,60,239.898995,239.899,42.26,75.421,588.566,10633,10478,4.18E-03,7.32E-04,23.80%,116,26.55%,0.903425,0.129083,11.986,-6.17,-,1536,48000,36,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_21,60,225.795726,225.796,37.903,81.253,550.577,9051,8870,4.44E-03,6.92E-04,30.32%,145,33.62%,0.890522,0.151644,11.766,-4.45,-,1536,48000,37,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_22,60,231.198154,231.198,41.605,72.744,588.749,8060,7881,4.34E-03,7.84E-04,39.40%,139,42.33%,0.894809,0.14297,11.955,-4.71,-,1536,48000,38,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_23,60,224.979978,224.98,39.981,79.11,593.804,6971,6815,4.46E-03,7.60E-04,46.69%,129,48.92%,0.893023,0.149501,12.233,-7.46,-,1536,48000,39,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_24,60,226.741108,226.741,46.971,75.785,593.438,8707,8519,4.43E-03,8.27E-04,33.38%,150,36.59%,0.898104,0.138298,11.89,-6.23,-0.01,1536,48000,40,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_25,60,230.502513,230.503,41.442,77.049,585.614,9089,8920,4.35E-03,7.55E-04,31.72%,141,34.79%,0.901057,0.134928,12.165,-7.85,-,1536,48000,41,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_26,60,232.038263,232.038,45.098,76.314,598.003,9253,9069,4.32E-03,8.16E-04,29.37%,143,34.14%,0.896273,0.139969,11.7,-6,-,1536,48000,42,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_27,60,228.995246,228.995,38.192,78.209,572.082,8775,8611,4.37E-03,7.39E-04,33.17%,134,36.83%,0.89983,0.133717,11.885,-6.47,-,1536,48000,43,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_28,60,232.601275,232.601,40.829,78.381,566.967,9523,9363,4.31E-03,7.97E-04,29.00%,120,31.74%,0.893816,0.144635,11.436,-,-0.04,1536,48000,44,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_29,60,234.801457,234.801,44.209,75.579,599.878,9569,9388,4.27E-03,7.97E-04,29.02%,151,32.70%,0.883572,0.157706,10.785,-6.95,-,1536,48000,45,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_30,8.256,225.098946,225.099,30.992,96.142,354.09,1146,1125,4.44E-03,6.79E-04,36.50%,18,38.03%,0.887187,0.158731,11.185,-9.4,-0.23,1539,48000,46,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker3_31,60,218.866121,218.866,30.036,80.312,586.229,9000,8848,4.58E-03,6.50E-04,27.08%,124,29.43%,0.917321,0.109672,13.116,-5.19,-,705.6,48000,47,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_32,60,222.7473,222.747,44.065,75.316,582.16,9732,9552,4.50E-03,8.42E-04,23.23%,130,27.65%,0.918597,0.111663,13.62,-5.48,-,705.6,48000,48,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_33,5.003175,230.4777,230.478,55.046,174.88,570.068,926,911,4.36E-03,7.84E-04,15.49%,6,18.68%,0.878065,0.183624,11.743,-6.94,-,705.6,48000,49,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_34,60,224.753288,224.753,37.02,80.153,580.903,10701,10512,4.46E-03,7.10E-04,16.96%,119,20.70%,0.878387,0.177049,11.213,-5.97,-,705.6,48000,50,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_35,60,222.188207,222.188,36.288,75.205,531.047,10454,10255,4.51E-03,8.17E-04,17.66%,117,20.50%,0.870646,0.19165,10.844,-5.87,-,705.6,48000,51,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_36,60,224.564489,224.564,37.626,75.125,593.151,10479,10264,4.47E-03,8.13E-04,18.68%,137,22.42%,0.868168,0.196046,10.684,-5.98,-,705.6,48000,52,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_37,60,227.555772,227.556,43.66,79.668,599.42,10816,10595,4.41E-03,7.83E-04,16.34%,128,20.61%,0.86887,0.196415,10.875,-5.66,-,705.6,48000,53,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_38,60,225.935354,225.935,34.234,80.363,552.172,10542,10344,4.43E-03,7.16E-04,16.94%,121,22.41%,0.878349,0.178744,11.21,-5.45,-,705.6,48000,54,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_39,60,229.16073,229.161,37.523,75.952,582.32,10808,10589,4.37E-03,7.01E-04,17.63%,113,21.33%,0.881881,0.176392,11.636,-5.35,-,705.6,48000,55,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_40,60,228.252168,228.252,41.205,77.021,572.416,11032,10850,4.39E-03,7.65E-04,16.13%,114,19.65%,0.88786,0.161464,11.704,-5.46,-,705.6,48000,56,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_41,60,227.648068,227.648,39.265,75.718,599.117,10544,10330,4.40E-03,7.44E-04,19.04%,130,23.00%,0.8856,0.169963,11.818,-5.25,-,705.6,48000,57,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_42,60,229.035965,229.036,41.709,75.557,597.314,10080,9874,4.38E-03,7.63E-04,23.48%,128,26.72%,0.884841,0.171946,11.863,-5.79,-,705.6,48000,58,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_43,60,226.301214,226.301,44.226,73.628,610.444,10705,10489,4.44E-03,7.69E-04,18.18%,124,20.98%,0.891852,0.157243,12.172,-5.53,-,705.6,48000,59,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_44,60,227.420987,227.421,41.062,76.387,596.091,10981,10787,4.41E-03,7.65E-04,16.29%,126,19.76%,0.891312,0.158455,11.877,-5.97,-,705.6,48000,60,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_45,60,226.502589,226.503,40.472,75.64,612.813,10314,10099,4.43E-03,7.35E-04,20.74%,132,24.42%,0.887132,0.16638,11.821,-6.06,-,705.6,48000,61,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_46,60,223.362673,223.363,38.587,77.981,598.274,10178,9968,4.49E-03,7.59E-04,19.88%,141,24.47%,0.894457,0.155293,12.376,-5.77,-,705.6,48000,62,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_47,60,215.101559,215.102,34.365,75.651,594.938,10221,10017,4.66E-03,8.33E-04,17.91%,122,20.94%,0.903392,0.139705,12.942,-5.63,-,705.6,48000,63,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_48,60,230.840692,230.841,47.08,75.072,585.005,10737,10496,4.35E-03,8.03E-04,19.08%,134,22.53%,0.881393,0.17758,11.646,-5.45,-,705.6,48000,64,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_49,60,222.44023,222.44,40.537,75.12,594.277,10361,10140,4.50E-03,8.72E-04,17.78%,134,22.60%,0.884828,0.170886,11.782,-5.24,-,705.6,48000,65,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_50,60,223.022558,223.023,42.233,76.275,593.846,10078,9855,4.50E-03,7.94E-04,19.84%,144,24.99%,0.878842,0.180525,11.307,-5.69,-,705.6,48000,66,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_51,60,219.04188,219.042,38.777,72.585,476.27,8957,8781,4.58E-03,7.97E-04,28.80%,109,28.92%,0.892022,0.156971,12.176,-5.74,-,705.6,48000,67,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_52,60,225.00042,225,41.677,76.322,595.092,9809,9602,4.46E-03,8.29E-04,23.16%,134,27.60%,0.890425,0.158395,12.157,-5.18,-,705.6,48000,68,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_53,60,222.051769,222.052,39.945,82.365,593.946,9838,9644,4.52E-03,8.03E-04,22.06%,130,26.52%,0.886979,0.165181,12.037,-5.2,-,705.6,48000,69,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_54,60,219.111533,219.112,38.549,75.114,596.397,10038,9838,4.57E-03,8.43E-04,20.33%,126,23.98%,0.883537,0.172054,11.663,-5.08,-,705.6,48000,70,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_55,60,223.238972,223.239,44.817,79.27,598.17,10228,10014,4.49E-03,8.46E-04,19.13%,130,23.61%,0.881412,0.172656,11.338,-5.91,-,705.6,48000,71,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_56,60,227.093631,227.094,45.889,77.465,600.234,9311,9076,4.41E-03,8.07E-04,26.30%,150,30.73%,0.878191,0.179753,11.383,-5.27,-,705.6,48000,72,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_57,60,223.510851,223.511,41.775,74.434,624.336,10208,9990,4.49E-03,8.46E-04,19.46%,126,23.90%,0.882043,0.175698,11.698,-5.54,-,705.6,48000,73,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_58,60,225.536641,225.537,37.71,75.367,510.23,9118,8912,4.44E-03,7.66E-04,25.23%,139,32.73%,0.883339,0.171286,11.534,-5.27,-,705.6,48000,74,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_59,60,228.077966,228.078,39.293,74.986,599.794,10075,9847,4.40E-03,8.42E-04,22.14%,154,26.66%,0.899849,0.141112,12.497,-4.5,-,705.6,48000,75,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_60,60,219.269859,219.27,46.096,75.094,627.055,9535,9319,4.57E-03,9.43E-04,23.00%,161,28.27%,0.898526,0.14102,12.135,-5.14,-,705.6,48000,76,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_61,60,220.208381,220.208,36.168,72.553,583.428,9677,9505,4.55E-03,7.43E-04,22.56%,145,27.52%,0.911027,0.12101,12.693,-5.49,-,705.6,48000,77,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/India
Speaker3_62,102.869333,244.748776,244.749,40.939,89.409,623.529,17065,16766,4.10E-03,6.42E-04,28.56%,235,31.33%,0.889034,0.154253,11.652,-2.81,-,1536,48000,78,2880000,307.46,1.37,stereo,htt://en.wikipedia.org/wiki/Venice
Speaker4_00,60,199.492884,199.493,53.419,67.968,594.59,5638,5397,5.02E-03,1.38E-03,49.34%,210,52.86%,0.849297,0.225369,10.023,-4.93,-4.93,1536,48000,16,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_01,60,203.193925,203.194,54.88,73.948,572.423,6043,5807,4.93E-03,1.41E-03,46.96%,197,51.19%,0.855325,0.214341,10.187,-3.75,-3.75,1536,48000,17,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_02,60,205.129316,205.129,53.315,73.638,615.555,5845,5608,4.89E-03,1.37E-03,49.21%,192,53.20%,0.860621,0.203886,10.382,-4.25,-4.25,1536,48000,18,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_03,60,203.544229,203.544,51.761,72.18,589.213,6331,6088,4.92E-03,1.38E-03,43.64%,184,48.27%,0.854984,0.212232,10.181,-4.99,-4.99,1536,48000,19,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_04,60,204.707618,204.708,54.553,70.049,590.796,5640,5442,4.90E-03,1.31E-03,50.14%,163,54.78%,0.856352,0.209879,9.998,-4.32,-4.32,1536,48000,20,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_05,60,207.340306,207.34,53.485,68.184,591.103,6081,5870,4.83E-03,1.41E-03,47.62%,173,52.20%,0.857717,0.209695,10.156,-5.51,-5.51,1536,48000,21,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_06,60,204.123488,204.123,58.817,68.391,596.405,6074,5845,4.92E-03,1.43E-03,46.52%,192,50.86%,0.857932,0.204712,10.199,-4.41,-4.41,1536,48000,22,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_07,60,207.655466,207.655,59.063,69.425,595.105,5669,5450,4.82E-03,1.55E-03,50.54%,171,55.11%,0.859737,0.205588,10.44,-4.68,-4.68,1536,48000,23,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_08,60,208.921733,208.922,59.519,70.005,593.612,6252,6024,4.80E-03,1.39E-03,45.57%,181,51.04%,0.861478,0.200469,10.271,-5.17,-5.17,1536,48000,24,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_09,60,211.012591,211.013,63.379,70.279,599.528,6247,6010,4.77E-03,1.45E-03,46.54%,177,51.25%,0.858031,0.207474,10.298,-4.73,-4.73,1536,48000,25,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_10,60,199.9963,199.996,58.318,68.729,593.489,5676,5445,5.00E-03,1.53E-03,48.71%,181,53.78%,0.853811,0.212708,9.909,-4.77,-4.77,1536,48000,26,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_11,60,209.443942,209.444,49.349,70.068,580.925,6465,6256,4.78E-03,1.26E-03,46.12%,174,49.60%,0.873034,0.181336,10.952,-1.08,-1.08,1536,48000,27,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_12,60,207.918569,207.919,47.286,68.067,579.582,6002,5812,4.82E-03,1.20E-03,49.08%,169,52.70%,0.87688,0.171774,11.063,-1.54,-1.54,1536,48000,28,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_13,60,206.890777,206.891,56.606,68.379,582.048,6072,5850,4.85E-03,1.44E-03,48.51%,177,50.85%,0.857558,0.205306,10.185,-4.4,-4.4,1536,48000,29,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_14,60,213.469315,213.469,62.099,71.405,599.715,6175,5958,4.70E-03,1.40E-03,48.22%,169,52.49%,0.86562,0.190536,10.366,-4.69,-4.69,1536,48000,30,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_15,39.2,211.115272,211.115,60.293,68.913,598.529,3952,3806,4.76E-03,1.40E-03,47.29%,122,50.73%,0.860677,0.199878,10.177,-3.91,-3.91,1536,48000,31,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_16,60,192.835923,192.836,42.107,74.143,548.471,5641,5456,5.18E-03,1.32E-03,47.71%,158,50.58%,0.871236,0.183853,10.858,-4.66,-4.66,1536,48000,32,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_17,60,200.780354,200.78,52.697,70.009,586.245,5582,5382,5.01E-03,1.38E-03,50.16%,167,54.60%,0.863686,0.198422,10.554,-4.43,-4.43,1536,48000,33,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_18,60,201.709114,201.709,56.319,73.607,595.852,5316,5104,4.96E-03,1.61E-03,52.16%,181,57.22%,0.858677,0.205756,10.236,-5.7,-5.7,1536,48000,34,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_19,60,200.30296,200.303,47.076,71.138,575.039,5914,5703,4.99E-03,1.37E-03,45.36%,171,51.99%,0.862207,0.20192,10.367,-7,-7,1536,48000,35,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_20,60,200.822596,200.823,48.883,67.964,564.754,5860,5679,4.96E-03,1.38E-03,48.86%,158,52.85%,0.883378,0.16307,11.306,-0.39,-0.39,1536,48000,36,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_21,60,198.843098,198.843,52.836,71.855,594.267,5944,5679,5.04E-03,1.58E-03,43.36%,215,51.45%,0.838133,0.241357,9.315,-6.26,-6.26,1536,48000,37,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_22,60,204.27126,204.271,55.813,70.653,595.434,5984,5773,4.90E-03,1.49E-03,46.89%,174,52.14%,0.85777,0.204054,10.084,-5.46,-5.46,1536,48000,38,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_23,60,204.33693,204.337,49.321,73.209,412.374,5646,5431,4.88E-03,1.31E-03,49.16%,173,55.03%,0.853602,0.212653,9.755,-2.24,-2.24,1536,48000,39,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_24,60,205.1166,205.117,61.422,67.931,597.072,6324,6108,4.90E-03,1.58E-03,45.04%,168,46.77%,0.862013,0.200312,10.353,-5.83,-5.83,1536,48000,40,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_25,0.032,-,-,-,-,-,1,0,-,-,100.00%,0,0.00%,-,-,-,-44.2,-44.2,1536,48000,41,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_26,60,214.558587,210.527,50.081,68.386,582.604,6162,5971,4.75E-03,1.23E-03,48.56%,156,49.54%,0.882126,0.166185,11.418,-4.23,-4.23,1536,48000,42,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_27,60,211.307565,208.236,49.21,76.694,584.545,6318,6136,4.80E-03,1.30E-03,46.36%,145,50.10%,0.874551,0.180549,11.3,-5.21,-5.21,1536,48000,43,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_28,60,217.087602,211.16,54.007,71.949,565.046,6533,6333,4.73E-03,1.42E-03,44.17%,160,49.36%,0.875236,0.176308,10.975,-5.6,-5.6,1536,48000,44,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_29,60,216.131354,213.655,49.379,69.58,457.965,6844,6664,4.68E-03,1.19E-03,43.16%,155,47.60%,0.882005,0.165525,11.392,-5.19,-5.19,1536,48000,45,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_30,60,216.750239,213.935,58.477,75.167,592.418,6350,6134,4.68E-03,1.25E-03,46.21%,157,51.55%,0.874176,0.174671,10.677,-6.14,-6.14,1536,48000,46,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_31,60,225.280123,222.637,48.816,75.861,571.969,7147,6962,4.48E-03,1.07E-03,43.56%,150,47.14%,0.878595,0.17065,11.001,-3.4,-3.4,1536,48000,47,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_32,60,226.398108,223.85,52.028,75.197,573.004,7302,7112,4.47E-03,1.11E-03,42.72%,151,46.42%,0.88259,0.166012,11.373,-4.61,-4.61,1536,48000,48,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_33,60,221.956079,218.345,47.586,72.919,554.74,6648,6458,4.58E-03,1.15E-03,45.21%,157,50.24%,0.874224,0.17875,10.989,-4.21,-4.21,1536,48000,49,2880000,307.46,1.37,stereo,The Witch of Portobello
Speaker4_34,60,214.860612,211.364,46.387,72.85,578.328,7306,7118,4.73E-03,1.17E-03,39.09%,158,43.27%,0.878041,0.170569,11.019,-6.18,-6.18,1536,48000,50,2880000,307.46,1.37,stereo,The Witch of Portobello
