File Name,Duration (ss),Fundamental Frequency (Hz),Mean Pitch (Hz),Pitch Sigma (Hz),Minimum Pitch (Hz),Maximum Pitch (Hz),No. of Pulses,No. of periods,Mean Period (ss),Standard Deviation of Period (ss),Fraction of Locally unvoiced frames (%),No. of voice breaks,Degree of voice breaks,Mean auto - correlation,Mean noise-to-harmonics ratio,Mean harmonics-to-noice ratio (dB),Peak Amplitude Channel 1  (dB),Peak Amplitude Channel 2  (dB),Bit Rate (kbs),Sample Rate (Hz),Resolution (bits),No of Samples,Size on memory  (kB),Size on disk (MB),Channels,Source
speaker1_49,60.946979,170.761834,170.762,40.632,75.034,452.901,4840,4672,5.87E-03,1.23E-03,50.27%,141,52.79%,0.83864,0.231693,9.027,-9.19,-11.16,1536,48000,16,2923520,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_50,58.474979,175.891541,175.892,46.177,73.495,544.288,5568,5398,5.71E-03,1.31E-03,42.04%,137,44.26%,0.85578,0.207655,9.921,-19.76,-11.66,1536,48000,16,2804736,307.46,1.34,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_51,63.442979,170.52932,170.529,36.93,81.058,419.553,3221,3057,5.89E-03,1.12E-03,68.51%,155,69.36%,0.898354,0.129452,11.489,-17.46,-0.27,1536,48000,16,3043328,307.46,1.45,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_52,60.250979,166.274728,166.275,47.924,70.331,578.652,5016,4836,6.05E-03,1.46E-03,46.75%,152,48.90%,0.848213,0.215846,9.285,-8.82,-11.61,1536,48000,16,2889728,307.46,1.38,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_53,62.170979,161.636346,161.636,40.151,75.107,491.834,5085,4908,6.22E-03,1.39E-03,44.83%,149,48.47%,0.84508,0.22498,9.392,-19.73,-12.01,1536,48000,16,2981888,307.46,1.42,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_54,61.162979,170.03372,170.034,45.191,77.338,493.263,5327,5141,5.91E-03,1.37E-03,44.35%,150,48.11%,0.846659,0.219775,9.335,-20.24,-12.67,1536,48000,16,2933760,307.46,1.4,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_55,60.802979,166.064817,166.065,45.035,63.518,584.32,4814,4651,6.05E-03,1.35E-03,49.50%,140,51.95%,0.858755,0.201706,9.938,-19.73,-9.4,1536,48000,16,2916352,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_56,60.658979,165.612314,165.612,42.694,76.878,442.02,5226,5058,6.07E-03,1.39E-03,43.70%,139,47.68%,0.842119,0.233323,9.374,-20.21,-12.67,1536,48000,16,2909184,307.46,1.39,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_57,64.930979,164.452802,164.453,44.659,75.118,595.4,5611,5392,6.09E-03,1.50E-03,40.51%,162,47.29%,0.809642,0.29178,7.998,-20.3,-12.95,1536,48000,16,3115008,307.46,1.49,stereo,htt://en.m.wikipedia.org/wiki/Diwali
speaker1_58,60.322979,165.371035,165.371,35.514,75.074,576.843,4273,4124,6.07E-03,1.24E-03,54.59%,136,55.32%,0.861026,0.19355,9.81,-18.7,-7.57,1536,48000,16,2893824,307.46,1.38,stereo,htt://en.m.wikipedia.org/wiki/Diwali
